,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,À˘ Ù¿‡±
2257,0.452,0.475,0.682,0.91,0.191,0.204,0.278,0.697,0.521,0.37,0.715,0.906,0.307,0.654,0.129,0.0969,0.935,0.232,0.7,0.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2258,0.485,0.194,0.657,0.598,0.667,0.0402,0.606,0.409,0.676,0.923,0.335,0.0408,0.132,0.241,0.947,0.903,0.349,0.96,0.251,0.466,3.74E-08,3.01E-14,3.99E-12,8.20E-14,4.10E-13,2.21E-07,7.78E-14,2.00E-07,1.64E-08,0,4.62E-11,5.06E-11,9.78E-18,3.57E-11,6.82E-15,0,7.85E-14,0,0,2.47E-14,0
2259,0.00699,0.85,0.656,0.106,0.643,0.431,0.377,0.824,0.637,0.808,0.0144,0.458,0.0708,0.568,0.564,0.5,0.437,0.594,0.405,0.177,1.10E-05,2.35E-12,3.73E-12,5.58E-13,1.35E-10,1.67E-06,5.92E-12,9.88E-05,1.75E-06,0,1.40E-09,1.33E-09,0,9.06E-11,3.20E-14,0,2.28E-13,0,0,3.39E-12,3
2260,0.402,0.252,0.592,0.371,0.161,0.758,0.582,0.291,0.102,0.622,0.0695,0.186,0.0925,0.382,0.855,0.788,0.0652,0.779,0.724,0.572,9.89E-07,2.25E-13,1.73E-13,3.47E-14,6.78E-12,8.44E-08,5.61E-13,8.11E-06,1.68E-07,0,1.01E-10,9.51E-11,0,4.46E-12,5.55E-14,0,4.82E-16,0,0,3.24E-15,3
2261,0.467,0.298,0.52,0.153,0.0775,0.646,0.556,0.765,0.313,0.0223,0.447,0.119,0.738,0.00352,0.627,0.535,0.575,0.868,0.0253,0.48,3.96E-08,3.94E-14,5.88E-14,5.13E-14,2.88E-12,6.37E-08,7.92E-14,5.19E-09,7.18E-09,4.66E-13,7.39E-11,4.45E-12,1.11E-17,2.17E-13,4.15E-14,2.44E-15,1.28E-14,0,0,0,3
2262,0.742,0.9,0.489,0.33,0.615,0.411,0.627,0.244,0.608,0.301,0.211,0.347,0.572,0.433,0.0297,0.167,0.577,0.16,0.869,0.379,0,0,0,0,0,0,0,0.913610406,0,0,0,0,0,0,0,0,0,0,0,0,2
2263,0.406,0.262,0.965,0.355,0.57,0.12,0.781,0.794,0.0365,0.442,0.723,0.567,0.156,0.646,0.796,0.435,0.18,0.464,0.464,0.338,3.07E-05,3.67E-12,2.57E-10,7.62E-11,9.99E-11,0.000232504,6.51E-11,1.95E-05,6.19E-07,1.55E-09,3.03E-09,1.08E-08,1.97E-14,1.02E-09,3.14E-11,0,1.20E-11,0,0,0,1
2264,0.172,0.928,0.56,0.0427,0.867,0.604,0.452,0.322,0.443,0.641,0.946,0.0418,0.534,0.859,0.634,0.637,0.967,0.366,0.51,0.641,4.42E-06,1.11E-11,4.44E-10,1.51E-10,5.78E-12,3.32E-07,1.83E-11,9.57E-06,4.98E-08,3.56E-09,1.20E-08,6.52E-09,3.18E-14,5.33E-11,1.47E-13,8.84E-15,5.20E-12,0,0,3.63E-11,0
2265,0.748,0.164,0.658,0.478,0.317,0.483,0.38,0.954,0.426,0.855,0.545,0.403,0.000374,0.381,0.554,0.627,0.316,0.375,0.559,0.95,6.96E-06,9.88E-11,5.21E-09,3.39E-11,0,1.48E-08,1.60E-10,0.000468624,1.47E-09,2.81E-07,1.63E-05,2.30E-09,2.33E-12,3.68E-09,1.39E-11,3.33E-12,6.51E-11,0,0,1.19E-08,1
2266,0.146,0.701,0.155,0.425,0.863,0.272,0.00024,0.00604,0.739,0.354,0.557,0.638,0.333,0.151,0.192,0.409,0.218,0.541,0.179,0.305,1.23E-05,8.22E-09,1.49E-10,8.23E-11,0,7.95E-08,1.27E-08,0.036503789,0,2.21E-05,1.76E-07,0,1.92E-10,3.13E-10,2.57E-10,2.92E-11,4.90E-09,0,0,1.27E-10,0
2267,0.705,0.00687,0.842,0.501,0.633,0.627,0.833,0.622,0.601,0.117,0.544,0.0802,0.829,0.000194,0.553,0.693,0.872,0.253,0.371,0.573,1.58E-07,5.40E-13,3.40E-12,4.67E-12,0,2.23E-09,8.62E-13,2.18E-06,7.01E-11,1.31E-09,4.91E-11,2.55E-10,1.14E-14,9.33E-12,1.91E-14,0,3.88E-13,0,0,3.74E-13,2
2268,0.405,0.000221,0.31,0.638,0.202,0.865,0.649,0.937,0.277,0.394,0.875,0.454,0.945,0.309,0.0675,0.449,0.899,0.633,0.329,0.21,1.77E-06,3.62E-11,3.89E-11,2.16E-11,2.16E-12,3.11E-08,2.71E-11,7.40E-07,3.11E-09,4.41E-10,1.27E-08,2.94E-09,4.70E-15,2.12E-11,1.69E-11,3.64E-13,3.05E-12,0,2.82E-12,1.02E-11,1
2269,0.000128,0.156,0.734,0.895,0.245,0.772,0.809,0.0925,0.00501,0.845,0.0918,0.47,0.0901,0.679,0.398,0.317,0.0862,0.54,0.549,0.842,4.98E-09,5.29E-13,1.93E-13,1.70E-13,1.07E-13,1.70E-10,9.83E-13,7.40E-08,1.39E-10,4.56E-11,1.19E-09,9.19E-12,1.10E-15,2.81E-11,6.89E-14,2.31E-15,2.86E-12,0,0,1.05E-11,3
2270,0.668,0.588,0.819,0.342,0.292,0.178,0.962,0.582,0.605,0.664,0.459,0.434,0.155,0.728,0.257,0.113,0.958,0.489,0.559,0.547,1.79E-07,3.11E-12,1.65E-11,5.75E-12,2.35E-13,9.77E-09,3.93E-12,6.15E-06,9.42E-11,3.70E-09,6.96E-08,2.71E-10,3.24E-14,1.14E-10,6.48E-12,6.80E-14,4.87E-12,0,0,4.21E-12,1
2271,0.795,0.883,0.926,0.076,0.0584,0.906,0.804,0.23,0.166,0.401,0.9,0.772,0.0662,0.19,0,0.498,0.845,0.207,0.935,0.391,3.74E-10,1.14E-12,4.44E-13,1.19E-13,2.91E-13,5.48E-09,2.11E-12,6.42E-09,2.23E-12,5.56E-12,3.76E-10,5.78E-12,9.52E-16,5.41E-13,8.26E-15,8.40E-16,6.25E-12,0,0,2.00E-14,1
2272,0.923,0.465,0.171,0.723,0.35,0.146,0.919,0.914,0.025,0.687,0.224,0.934,0.871,0.53,0.294,0.345,0.0847,0.464,7.67E-05,0.426,2.49E-09,6.53E-14,8.46E-14,4.30E-13,2.27E-14,3.06E-09,1.08E-13,3.93E-08,1.14E-11,2.34E-11,1.54E-11,2.12E-11,2.44E-16,9.45E-13,1.72E-15,4.00E-17,2.72E-13,0,0,5.85E-14,1
2273,0.832,0.542,0.419,0.187,0.0326,0.961,0.219,0.148,0.705,0.496,0.97,0.509,0.871,0.811,0.808,0.402,0.698,0.544,0.34,0.0541,7.19E-08,1.68E-10,5.32E-12,9.42E-12,3.43E-11,1.10E-09,3.10E-10,1.85E-07,7.75E-10,3.66E-10,1.98E-08,3.76E-10,1.36E-13,7.45E-10,4.86E-12,1.79E-13,9.21E-10,0,0,2.84E-12,1
2274,0.975,0.263,0.423,0.801,0.309,0.211,0.435,0.829,0.0704,0.444,0.0115,0.196,0.144,0.546,0.617,0.129,0.428,0.949,0.254,0.0167,1.64E-08,1.90E-11,8.18E-12,1.34E-12,7.38E-12,4.06E-10,3.53E-11,5.24E-09,1.36E-10,3.03E-11,2.33E-08,6.44E-11,1.56E-14,1.22E-09,3.68E-13,1.11E-14,1.05E-10,0,1.26E-13,1.08E-12,2
2275,0.35,0.311,0.769,0.635,0.32,0.441,0.91,0.354,0.445,0.0154,0.299,0.961,0.428,0.136,0.271,0.0753,0.837,0.422,0.591,0.185,2.58E-07,8.93E-12,4.18E-10,1.52E-12,4.22E-10,8.62E-10,1.68E-11,6.50E-06,4.37E-09,3.71E-09,5.22E-07,6.35E-11,6.13E-14,1.57E-09,4.86E-11,1.81E-13,4.19E-11,0,0,1.29E-14,2
2276,0.0454,0.77,0.341,0.338,0.415,0.367,0.803,0.845,0.228,0.917,0.0925,0.595,0.303,0.823,0.12,0.29,0.414,0.146,0.968,0.949,1.62E-08,1.14E-13,2.54E-12,3.29E-15,6.43E-13,1.58E-12,2.12E-13,6.69E-10,1.45E-11,2.64E-13,5.29E-09,0,1.54E-16,2.51E-11,1.95E-13,6.81E-16,6.14E-13,0,0,2.42E-14,3
2277,0.505,0.401,0.315,0.491,0.555,0.132,0.741,0.249,0.52,0.175,0.0265,0.693,0.659,0.834,0.913,0.516,0.664,0.744,0.851,0.631,2.14E-06,1.55E-11,4.33E-09,2.29E-12,2.77E-12,1.92E-10,2.69E-11,2.54E-08,2.73E-08,2.45E-11,1.34E-05,7.97E-11,1.64E-13,8.73E-09,4.17E-10,1.34E-12,2.44E-11,0,0,0,2
2278,0.0797,0.853,0.39,0.083,0.321,0.959,0.000291,0.877,0.73,0.79,0.353,0.866,0.302,0.759,0.000123,0.0653,0.142,0.684,0.945,0.641,3.94E-09,1.25E-10,2.97E-10,3.07E-13,2.10E-12,8.23E-10,1.79E-11,4.37E-09,1.01E-07,7.75E-12,4.85E-06,2.08E-11,0,1.10E-07,4.28E-12,3.82E-13,4.31E-12,0,0,0,1
2279,0.238,0.822,0.54,0.724,0.66,0.578,0.609,0.12,0.425,0.316,0.196,0.853,0.581,0.773,0.969,0.393,0.562,0.0483,0.738,0.582,4.55E-11,1.96E-13,1.60E-11,3.25E-15,2.18E-14,3.33E-10,3.24E-13,4.12E-11,2.82E-10,2.73E-14,2.22E-07,2.33E-13,0,1.53E-09,7.21E-13,2.22E-15,5.04E-14,0,0,0,2
2280,0.669,0.26,0.594,0.579,0.0271,0.56,0.0863,0.344,0.827,0.237,0.292,0.82,0.615,0.111,0.483,0.261,0.569,0.884,0.33,0.677,1.32E-10,1.17E-12,2.25E-11,4.84E-12,7.49E-13,2.05E-11,1.92E-12,3.70E-11,2.10E-09,8.44E-13,5.30E-07,2.92E-12,1.40E-14,4.19E-10,2.41E-12,3.28E-14,3.16E-13,0,0,0,2
2281,0.266,0.499,0.707,0.476,0.792,0.886,0.201,0.814,0.143,0.199,0.00684,0.962,0.962,0.86,0.592,0.153,0.351,0.877,0.36,0.6,3.29E-10,1.90E-12,2.22E-11,1.81E-14,8.18E-13,4.69E-11,2.47E-12,6.52E-11,1.36E-09,2.11E-13,1.78E-07,2.65E-12,5.33E-16,6.43E-10,1.82E-12,1.35E-14,5.09E-14,0,0,0,3
2282,0.11,0.0754,0.161,0.551,0.492,0.836,8.75E-05,0.103,0.0861,0.477,0.238,0.457,0.968,0.355,0.244,0.536,0.632,0.553,0.879,0.0469,2.93E-10,3.55E-15,3.51E-13,4.69E-15,1.17E-16,1.74E-14,3.06E-15,4.21E-12,1.91E-09,2.89E-13,8.09E-10,7.70E-12,0,5.01E-11,9.43E-17,3.31E-17,9.62E-16,0,0,1.87E-16,3
2283,0.966,0.734,0.914,0.311,0.329,0.0101,0.0209,0.677,0.384,0.547,0.738,0.0619,0.737,0.771,0.0423,0.353,0.912,0.481,0.935,0.851,6.05E-11,2.18E-13,1.68E-12,2.92E-16,1.22E-12,1.01E-12,3.24E-14,1.87E-11,1.07E-11,1.60E-14,8.48E-11,5.25E-14,1.38E-18,1.68E-10,2.82E-14,2.46E-15,1.55E-15,0,2.80E-15,3.34E-16,1
2284,0.00648,0.765,0.883,0.112,0.373,0.0703,0.163,0.807,0,0.501,0.391,0.293,0.155,0.386,0.532,0.41,0.414,0.411,0.48,0.947,2.71E-09,7.46E-11,2.86E-09,1.59E-13,2.91E-12,1.32E-10,7.87E-12,9.40E-10,1.45E-09,1.16E-12,6.51E-07,6.04E-12,0,3.17E-08,2.47E-13,5.45E-14,1.18E-12,0,1.28E-11,0,3
2285,0.561,0.332,0.753,0.209,0.571,0.854,0.408,0.52,0.661,0.903,0.239,0.746,0.243,0.924,0.829,0.689,0.237,0.0813,0.0395,0.47,1.96E-09,8.89E-11,3.00E-09,1.59E-13,9.27E-12,9.53E-11,2.44E-11,2.21E-10,1.03E-08,2.44E-12,2.45E-07,4.31E-11,0,5.69E-08,1.01E-11,5.95E-14,3.81E-13,0,0,0,3
2286,0.526,0.907,0.27,0.658,0.619,0.749,0.724,0.893,0.0814,0.923,0.716,0.306,0.212,0.244,0.944,0.955,0.568,0,0.788,0.255,2.09E-11,2.77E-13,8.05E-12,4.50E-16,1.20E-13,9.87E-13,2.54E-14,2.78E-12,9.28E-11,2.50E-14,1.95E-10,3.89E-13,0,1.64E-09,7.50E-15,8.45E-16,3.16E-16,0,3.39E-15,7.05E-16,0
2287,0.755,0.678,0.763,0.202,0.856,0.871,0.202,0.654,0.351,0.51,0.507,0.698,0.143,0.294,0.36,0.349,0.301,0.468,0.754,0.357,7.44E-10,2.92E-12,4.44E-10,1.25E-14,6.00E-14,1.83E-12,2.85E-13,1.94E-11,4.79E-09,8.09E-13,3.46E-09,1.92E-11,0,1.44E-08,1.40E-14,1.70E-14,2.22E-14,0,1.07E-13,0,1
2288,0.816,0.492,0.907,0.847,0.603,0.581,0.784,0.188,0.836,0.0514,0.568,0.343,0.509,0.0989,0.368,0.176,0.0684,0.955,0.748,0.142,3.94E-13,4.32E-15,2.79E-11,1.83E-17,1.91E-16,9.12E-15,5.20E-16,1.15E-13,3.26E-12,1.17E-15,1.82E-11,7.71E-15,1.66E-21,4.22E-09,8.14E-14,1.82E-16,1.06E-16,6.76E-19,9.05E-17,0,2
2289,0.00789,0.113,0.697,0.533,0.398,0.124,0.446,0,0.844,0.703,0.294,0.0115,0.232,0.65,0.241,0.876,0.599,0.494,0.43,0.665,1.65E-09,2.09E-14,9.38E-11,2.64E-14,8.77E-16,4.88E-14,1.06E-14,2.43E-11,1.07E-08,1.63E-12,2.63E-09,4.32E-11,0,1.30E-08,1.09E-15,3.74E-16,5.26E-15,0,0,0,3
2290,0.537,0.0618,8.86E-05,0.0762,0.837,0.576,0.252,0.461,0.0246,0.875,0.0787,0.0486,0.112,0.242,0.328,0.752,0.189,0.165,0.174,0.399,4.32E-09,8.90E-13,2.95E-08,8.74E-14,1.68E-13,3.97E-12,7.77E-13,2.24E-10,2.78E-08,4.81E-12,1.13E-08,1.12E-10,2.51E-18,1.46E-06,6.02E-14,6.47E-14,8.15E-14,1.83E-14,1.51E-12,3.35E-12,3
2291,0.884,0.372,0.0585,0,0.367,0.771,0.808,0.212,0.682,0.513,0.345,0.4,0.488,0.444,0.802,0.96,0.772,0.00751,0.531,0.52,1.93E-10,3.74E-12,3.85E-09,2.88E-14,3.67E-12,1.01E-12,1.01E-11,2.71E-07,7.55E-10,1.64E-10,2.49E-08,2.62E-12,1.40E-15,5.75E-07,1.92E-14,3.72E-14,1.80E-12,0,0,2.57E-14,2
2292,0.053,0.247,0.25,0.674,0.431,0.26,0.122,0.0819,0.307,0.691,0.916,0.743,0.785,0.592,0.635,0.965,0.000114,0.174,0.237,0.0712,1.14E-11,1.21E-12,2.16E-09,8.85E-15,1.22E-12,3.29E-13,3.26E-12,1.31E-08,5.02E-11,1.18E-11,3.52E-09,1.69E-13,7.45E-17,3.20E-07,6.10E-15,7.84E-15,6.45E-13,0,0,5.03E-16,0
2293,0.677,0.835,0.0805,0.455,0.824,0.588,0.14,0.541,0.43,0.684,0.0611,0.281,0.548,0.327,0.471,0.573,0.608,0.951,0.184,0.156,8.85E-09,1.28E-13,1.26E-08,1.80E-13,4.46E-14,1.78E-11,2.21E-13,5.68E-07,8.62E-11,3.38E-10,3.33E-07,2.04E-12,1.67E-15,1.92E-06,1.91E-13,1.43E-13,8.90E-14,0,0,1.43E-11,3
2294,0.0753,0.474,0.177,0.515,0.308,0.464,0.0141,0.000108,0.83,0.769,0.704,0.339,0.592,0.927,0.741,0.911,0.534,0.874,0.193,0.961,1.74E-12,6.08E-15,1.09E-11,3.14E-16,1.85E-14,1.31E-13,1.64E-14,7.77E-10,1.29E-12,4.68E-13,7.62E-10,5.45E-15,2.80E-18,8.41E-10,1.44E-16,5.89E-16,8.97E-16,0,0,1.32E-14,3
2295,0.682,0.75,0.621,0.63,0.671,0.654,0.102,0.734,0.864,0.344,0.467,0.289,0.113,0.132,0.829,0.0247,0.345,0.224,0.125,0.693,1.73E-12,4.70E-15,1.65E-12,4.10E-16,4.01E-14,1.85E-13,9.45E-15,4.51E-09,1.33E-12,2.71E-12,1.26E-08,7.43E-15,1.73E-18,1.50E-11,2.85E-16,8.06E-15,2.06E-15,0,0,0,0
2296,0.293,0.327,0.0321,0.264,0.48,0.507,0.342,0.67,0.801,0.224,0.359,0.812,0.235,0.344,0.301,0.676,0.51,0.347,0.0392,0.409,6.28E-13,4.75E-15,3.88E-13,1.82E-16,1.08E-14,7.35E-14,9.79E-15,9.17E-10,1.99E-13,5.63E-13,9.04E-09,4.58E-15,1.08E-17,3.07E-11,1.01E-16,1.91E-15,1.88E-13,0,0,0,0
2297,0.511,0.924,0.067,0.689,0.775,0.776,0.723,0.000163,0.591,0.136,0.292,0.00026,0.0666,0.147,0.811,0.16,0.479,0.831,0.43,0.546,1.89E-12,3.02E-15,8.05E-11,1.74E-16,2.08E-14,5.44E-14,7.67E-15,1.99E-09,8.00E-14,1.20E-12,2.11E-10,2.50E-15,9.99E-18,4.11E-12,7.69E-16,3.24E-14,9.54E-16,0,0,1.12E-16,2
2298,0.813,0.246,0.754,0.000256,0.371,0.853,0.466,0.694,0.0344,0.906,0.0928,0.534,0.000232,0.596,0.378,0.468,9.13E-05,0.745,0.905,0.0831,5.74E-11,4.25E-14,6.43E-13,7.85E-16,4.48E-15,4.13E-13,7.05E-14,1.90E-07,0,1.14E-10,2.28E-10,0,9.87E-16,6.36E-12,1.36E-15,1.04E-12,2.55E-14,0,0,8.17E-16,1
2299,0.172,0.715,0.69,0.419,0.848,0.969,0.41,0.652,0,0.641,0,0.455,0.16,0.371,0.903,0.312,0.832,0,0.308,0.119,1.22E-12,1.71E-15,2.28E-12,1.47E-16,2.59E-15,1.69E-14,3.56E-15,3.90E-09,2.85E-14,2.36E-12,1.86E-10,9.95E-16,2.04E-17,3.15E-13,1.32E-15,1.37E-16,9.52E-16,0,0,4.12E-16,3
2300,0.826,0.211,0.899,0.935,0.802,0.684,0.453,0.0401,0.912,0.48,0.606,0.563,0.853,0.208,0.347,0.112,0.428,0.124,0.899,0.731,2.27E-08,1.75E-14,4.17E-14,1.21E-14,1.78E-14,4.56E-06,3.10E-14,3.10E-11,1.05E-09,2.29E-12,6.89E-14,2.89E-09,1.05E-16,4.76E-12,1.83E-11,6.73E-16,5.21E-13,0,5.10E-13,0,2
2301,0.103,0.521,0.566,0.0302,0.814,0.6,0.599,0.524,0.226,0.286,0.362,0.137,0.762,0.325,0.833,0,0.96,0.44,0.345,6.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2302,0.549,0.501,0.303,0.772,0.828,0.609,0.647,0.0316,0.754,0.271,0.83,0.751,0.0114,0.742,0.861,0.0365,0.601,0,0.0711,0.594,2.29E-07,2.91E-15,1.81E-14,1.63E-14,1.34E-13,1.17E-07,6.01E-15,3.57E-10,8.64E-09,9.40E-15,3.70E-12,4.79E-09,2.35E-17,3.54E-11,1.22E-14,9.77E-17,2.28E-15,0,0,0,0
2303,0.711,0.891,0.0405,0.76,0.818,0.608,0.835,0.185,0.606,0.697,0.407,0.368,0.0642,0.0232,0.856,0.812,0.594,0.948,0.0236,0.183,5.51E-06,3.28E-13,1.11E-12,6.10E-13,5.01E-12,5.66E-06,6.12E-13,1.29E-08,1.36E-06,1.49E-13,1.65E-10,1.96E-07,1.41E-15,5.10E-09,2.27E-13,6.29E-15,5.34E-14,0,5.69E-13,0,0
2304,0.0602,0.93,0.128,0.109,0.96,0.0745,0.691,0.177,0.717,0.117,0.459,0.367,0.441,0.279,0.481,0.579,0.897,0.61,0.468,0.655,1.54E-06,3.94E-14,2.93E-12,3.63E-13,2.45E-12,3.52E-06,1.25E-13,3.38E-07,1.10E-07,0,1.46E-10,3.29E-08,1.70E-16,5.20E-10,3.41E-13,5.51E-16,5.69E-14,0,0,0,0
2305,0.511,0.146,0.537,0.778,0.912,0.936,0.928,0.441,0.827,0.545,0.237,0.924,0.66,0.505,0.683,0.154,0.794,0.68,0.831,0.0678,6.46E-09,4.32E-14,1.49E-14,6.52E-15,9.84E-13,1.15E-07,3.34E-14,1.95E-09,2.26E-10,6.42E-14,2.43E-13,1.17E-10,3.54E-18,8.63E-13,1.18E-15,3.02E-16,7.95E-16,0,0,0,2
2306,0.852,0.566,0.174,0.635,0.951,0.761,0.791,0.915,0.813,0.615,0.186,0.283,0.516,0.888,0.499,0.145,0.03,0.105,0.936,0.00439,2.26E-06,2.61E-13,1.72E-11,3.80E-12,5.75E-12,7.84E-05,2.51E-12,1.31E-06,7.34E-08,7.56E-11,2.23E-10,1.18E-08,9.76E-16,2.38E-10,1.14E-12,0,6.46E-13,0,0,0,2
2307,0.199,0.772,0.039,0.518,0.478,0.19,0.778,0.054,0.21,0.168,0.257,0.678,0.883,0.186,0.803,0.636,0.0291,0.935,0.827,0.151,1.40E-07,1.55E-14,1.18E-12,3.08E-13,4.06E-13,2.41E-06,1.96E-13,9.98E-08,3.78E-09,6.94E-12,1.55E-11,1.12E-10,8.11E-17,7.27E-12,9.07E-14,0,4.81E-14,0,0,0,3
2308,0.5,0.802,0.881,0.238,0.885,0.846,0.724,0.608,0.322,0.457,0.817,0.18,0.319,0.952,0.0799,0.804,0.429,0.617,0.34,0.819,1.15E-06,2.94E-13,2.20E-13,2.34E-14,9.36E-12,2.65E-07,7.27E-13,3.25E-08,2.11E-07,3.44E-13,4.76E-12,1.11E-10,3.43E-17,7.94E-12,6.56E-15,1.92E-16,3.99E-15,0,0,0,1
2309,0.899,0.793,0.00011,0.316,0.182,0.861,0.584,0.921,0.751,0.607,0.588,0.338,0,0.491,0.53,0.811,0.443,0.421,0.315,0.623,1.70E-06,4.43E-12,8.72E-13,2.29E-13,1.02E-08,8.76E-07,4.50E-12,8.30E-08,2.57E-07,9.79E-12,2.82E-10,2.35E-10,1.57E-16,2.05E-11,1.51E-12,9.07E-14,3.84E-14,0,0,0,1
2310,0.677,0.78,0.519,0.114,0.332,0.568,0.312,0.311,0.123,0.757,0.456,0.545,0.724,0.115,1.31E-06,0.312,0.2,0.204,0.266,0.736,9.35E-05,2.35E-11,8.07E-11,2.07E-11,1.40E-09,4.16E-06,5.85E-11,0.001351453,1.69E-05,0,2.36E-08,9.68E-09,0,4.90E-10,2.32E-13,0,2.40E-12,0,0,9.65E-12,3
2311,0.401,0.835,0.0473,0.776,0.613,0.933,0.428,0.755,0.73,0,0.356,0.82,0.69,0.00517,0.362,0.0218,0.229,0.735,0.521,0.912,1.30E-06,3.82E-13,1.06E-12,7.64E-13,1.07E-11,1.57E-07,8.97E-13,2.72E-07,2.28E-07,9.18E-11,2.71E-10,1.49E-10,8.40E-16,6.44E-12,1.22E-14,1.75E-16,1.36E-13,0,0,0,0
2312,0.393,0.442,0.618,0.658,0.691,0.707,0.359,0.782,0.87,0.0817,0.45,0.776,0.937,0.19,0.524,0.158,0.0667,0.297,0.718,0.301,4.41E-06,1.98E-12,4.48E-12,2.00E-12,2.00E-11,4.57E-07,4.03E-12,6.01E-07,4.07E-07,2.70E-10,7.89E-10,8.94E-10,3.40E-15,1.27E-11,4.57E-14,5.03E-16,7.16E-12,0,0,5.16E-13,2
2313,0.199,0.585,0.678,0.254,0.279,0.845,0.913,0.18,0.0747,0.817,0.772,0.351,0.278,0.899,0.362,0.947,0.689,0.542,0.9,0.0174,5.28E-07,3.16E-14,6.62E-13,2.33E-13,4.80E-13,1.98E-09,6.61E-14,4.59E-08,1.24E-08,7.07E-12,1.44E-10,1.49E-10,6.35E-17,4.14E-13,3.55E-16,2.65E-18,8.60E-14,0,0,1.56E-13,1
2314,0.000258,0.773,0.141,0.538,0.931,0.446,0.74,0.848,0.233,0.76,0.358,0.52,0.951,0.718,0,0.374,0.833,0.342,0.638,0.777,5.58E-05,4.33E-12,3.86E-11,5.81E-12,1.14E-13,2.42E-08,3.84E-12,1.03E-05,2.70E-08,6.10E-09,1.01E-07,1.66E-08,5.19E-14,3.32E-11,1.36E-13,1.46E-14,1.88E-12,0,0,7.66E-11,3
2315,0.771,0.166,0.0764,0.763,0.739,0.317,0.787,0.42,0.21,0.0608,0.281,0.713,0.961,0.39,0.162,0.43,0.504,0.142,0.733,0.769,1.87E-07,4.98E-13,5.77E-14,2.65E-13,2.23E-13,6.95E-10,7.96E-13,2.21E-06,9.19E-11,1.33E-09,2.50E-11,5.66E-11,1.15E-14,5.32E-14,1.48E-14,0,3.09E-13,0,0,2.76E-14,2
2316,0.341,0.448,0.489,0.567,0.33,0.156,0.352,0.446,0.202,0.059,0.549,0.706,0.827,0.83,0.65,0.179,0.865,0.791,0.438,0.376,1.09E-05,3.10E-10,2.69E-10,5.31E-09,1.96E-10,3.72E-07,3.73E-10,0.000178827,1.73E-08,1.07E-07,6.75E-08,2.55E-07,9.82E-13,4.51E-10,1.37E-12,1.53E-13,7.02E-10,0,0,3.51E-10,3
2317,2.56E-05,0.865,0.893,0.786,0.242,0.845,0.505,0.774,0.464,0.596,0.589,0.813,0.582,0.135,0.749,0.759,0.649,0.0806,0.756,0.883,9.94E-06,9.26E-11,9.44E-10,4.69E-10,2.76E-11,1.04E-05,1.55E-10,0.000205478,1.21E-08,1.23E-07,9.18E-08,1.78E-08,1.08E-12,9.84E-10,2.37E-12,0,1.12E-10,0,0,1.29E-09,0
2318,0.923,0.198,0.917,0.327,0.387,0.44,0.94,0.415,0.296,0.452,0.295,0.193,0.951,0.185,0.342,0.819,0.00024,0.669,0.553,0.841,3.51E-07,2.92E-13,1.62E-10,5.84E-11,5.69E-13,2.40E-08,5.11E-13,4.77E-07,1.39E-09,2.86E-10,8.80E-11,2.87E-09,2.66E-15,8.31E-12,2.58E-13,1.84E-12,6.94E-13,0,0,4.98E-12,2
2319,0.879,0.0801,0.14,0.526,0.472,0.337,0.469,0.571,0.921,0.463,0.000358,0.695,0.712,0.000266,0.25,0.702,0.314,0.308,0.488,0.282,2.37E-08,9.22E-12,2.70E-11,2.70E-11,3.62E-12,8.72E-10,2.11E-11,1.27E-08,1.03E-08,3.61E-10,7.13E-09,1.42E-09,2.60E-13,2.10E-09,4.15E-13,1.36E-12,6.50E-11,0,1.58E-10,8.92E-09,2
2320,0.219,0.142,0.717,0.388,0.971,0.549,0.64,0.249,0.319,0.753,0.199,0.207,0.228,0.114,0.00188,0.897,0.242,0.562,0.0834,0.965,4.91E-07,5.61E-12,6.89E-11,6.31E-08,6.54E-12,1.58E-07,1.04E-11,2.51E-07,3.09E-08,1.41E-10,2.58E-09,3.03E-06,1.38E-14,1.05E-11,1.15E-13,6.90E-15,1.78E-11,0,0,1.62E-10,0
2321,0.527,0.899,0.227,0.71,0.67,0.926,0.508,0.869,0.329,0.151,0.328,0.413,0.61,0.635,0.227,0.0823,0.404,0.19,0.705,0.544,4.82E-10,1.25E-11,1.19E-12,3.96E-13,2.55E-12,7.93E-09,2.31E-11,2.11E-09,5.60E-12,2.02E-11,4.82E-11,1.89E-11,1.00E-14,6.09E-13,1.76E-15,3.98E-15,6.88E-11,0,0,3.77E-14,2
2322,0.00588,0.17,0.388,0.515,0.562,0.361,0.466,0.0427,0.28,0.285,0.111,0.0508,0.954,0.0946,0.135,0.326,0.506,0.849,0.874,0.765,2.15E-07,3.76E-10,5.02E-11,2.61E-11,7.62E-11,7.94E-08,6.95E-10,1.48E-06,1.30E-09,1.45E-09,1.08E-08,1.26E-09,3.10E-13,1.51E-10,9.20E-14,1.23E-13,2.07E-09,0,0,4.33E-11,3
